animals_code,name,sex,age,species_code,herd,capture_site,data_source,note,insert_timestamp,commonHerd,coreGYE,Fed
ELK_400,,"","",1,Afton,Greys River,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_401,,"","",1,Afton,Greys River,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_769,,"","",1,Afton,Greys River,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_839,,"","",1,Afton,Greys River,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_197,,"","",1,Afton,Spring Creek,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_203,,"","",1,Afton,Spring Creek,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_204,,"","",1,Afton,Spring Creek,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_205,,"","",1,Afton,Spring Creek,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_211,,"","",1,Afton,Spring Creek,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_216,,"","",1,Afton,Spring Creek,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_219,,"","",1,Afton,Spring Creek,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_223,,"","",1,Afton,Spring Creek,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
ELK_228,,"","",1,Afton,Spring Creek,WGFD,"",2020-02-24 12:52:06,Afton,NO,YES
185416,,F,7,1,Big Creek,Big Creek North,"Montana FWP, 2020",Alt ID 30,2020-03-31 11:06:14,Big Creek,YES,NO
185417,,F,15,1,Big Creek,Big Creek North,"Montana FWP, 2020",Alt ID 1; Died poor body condition,2020-03-31 11:06:14,Big Creek,YES,NO
185418,,F,15,1,Big Creek,Big Creek North,"Montana FWP, 2020",Alt ID 19,2020-03-31 11:06:14,Big Creek,YES,NO
185419,,F,15,1,Big Creek,Big Creek North,"Montana FWP, 2020",Alt ID 20,2020-03-31 11:06:14,Big Creek,YES,NO
185420,,F,4,1,Big Creek,Big Creek South,"Montana FWP, 2020",Alt ID 15,2020-03-31 11:06:14,Big Creek,YES,NO
185421,,F,5,1,Big Creek,Big Creek South,"Montana FWP, 2020",Alt ID 21,2020-03-31 11:06:14,Big Creek,YES,NO
185423,,F,7,1,Big Creek,Big Creek South,"Montana FWP, 2020",Alt ID 45; Killed by hunter 10/25/09 at Big Creek,2020-03-31 11:06:14,Big Creek,YES,NO
185424,,F,9,1,Big Creek,Big Creek South,"Montana FWP, 2020","Alt ID 44; Died in Rock Creek, Bear predation",2020-03-31 11:06:14,Big Creek,YES,NO
185425,,F,5,1,Big Creek,Big Creek South,"Montana FWP, 2020","Alt ID 5; Brucellosis positive, Killed by FWP 1/19/10",2020-03-31 11:06:14,Big Creek,YES,NO
185426,,F,6,1,Big Creek,Donahue,"Montana FWP, 2020",Alt ID 12,2020-03-31 11:06:14,Big Creek,YES,NO
185427,,F,"",1,Big Creek,Unk,"Montana FWP, 2020",Alt ID 37; 151.8964,2020-03-31 11:06:14,Big Creek,YES,NO
185434,,F,8,1,Big Creek,8 Mile South,"Montana FWP, 2020","Alt ID 26; Died, Bear predation",2020-03-31 11:06:14,Big Creek,YES,NO
185435,,F,9,1,Big Creek,8 Mile South,"Montana FWP, 2020",Alt ID 11,2020-03-31 11:06:14,Big Creek,YES,NO
185436,,F,2,1,Big Creek,8 Mile South,"Montana FWP, 2020",Alt ID 16; 150.7395,2020-03-31 11:06:14,Big Creek,YES,NO
185437,,F,8,1,Big Creek,8 Mile South,"Montana FWP, 2020","Alt ID 24; Collar dropoff failure on Febuary 20, 2010",2020-03-31 11:06:14,Big Creek,YES,NO
185438,,F,10,1,Big Creek,8 Mile South,"Montana FWP, 2020",Alt ID 40,2020-03-31 11:06:14,Big Creek,YES,NO
185439,,F,4,1,Big Creek,8 Mile South,"Montana FWP, 2020",Alt ID 42,2020-03-31 11:06:14,Big Creek,YES,NO
185440,,F,5,1,Big Creek,South of Fridley,"Montana FWP, 2020",Alt ID 13; 150.6393,2020-03-31 11:06:14,Big Creek,YES,NO
185441,,F,7,1,Big Creek,South of Fridley,"Montana FWP, 2020",Alt ID 23; Died 4/23/10 - mortality mode failed and cause death undetermined; likely winter kill,2020-03-31 11:06:14,Big Creek,YES,NO
185442,,F,12,1,Big Creek,South of Fridley,"Montana FWP, 2020",Alt ID 43,2020-03-31 11:06:14,Big Creek,YES,NO
185443,,F,3,1,Big Creek,North of Fridley,"Montana FWP, 2020",Alt ID 10,2020-03-31 11:06:14,Big Creek,YES,NO
185444,,F,11,1,Big Creek,North of Fridley,"Montana FWP, 2020","Alt ID 38; Blow-off blew late June 27, 2010 instead of April 25 2010",2020-03-31 11:06:14,Big Creek,YES,NO
185445,,F,10,1,Big Creek,Fridley,"Montana FWP, 2020",Alt ID 14,2020-03-31 11:06:14,Big Creek,YES,NO
185446,,F,14,1,Big Creek,Fridley,"Montana FWP, 2020",Alt ID 41,2020-03-31 11:06:14,Big Creek,YES,NO
185447,,F,6,1,Big Creek,South of Fridley,"Montana FWP, 2020",Alt ID 31,2020-03-31 11:06:14,Big Creek,YES,NO
185448,,F,11,1,Big Creek,South of Fridley,"Montana FWP, 2020",Alt ID 25; 151.5095,2020-03-31 11:06:14,Big Creek,YES,NO
185449,,F,7,1,Big Creek,South of Fridley,"Montana FWP, 2020",Alt ID 35; Killed by hunter,2020-03-31 11:06:14,Big Creek,YES,NO
185450,,F,10,1,Big Creek,Big Creek South,"Montana FWP, 2020","Alt ID 33; Died, hit by car aug 2009",2020-03-31 11:06:14,Big Creek,YES,NO
185451,,F,7,1,Big Creek,Big Creek South,"Montana FWP, 2020",Alt ID 17; Picked up 8/27/10,2020-03-31 11:06:14,Big Creek,YES,NO
185452,,F,11,1,Big Creek,Big Creek South,"Montana FWP, 2020",Alt ID 7,2020-03-31 11:06:14,Big Creek,YES,NO
185453,,F,13,1,Big Creek,South of Fridley,"Montana FWP, 2020","Alt ID 28; Died, Poor body condition",2020-03-31 11:06:14,Big Creek,YES,NO
185454,,F,7,1,Big Creek,South of Fridley,"Montana FWP, 2020",Alt ID 3; Killed by hunter on 11/28 Malcom Ranch,2020-03-31 11:06:14,Big Creek,YES,NO
185455,,F,4,1,Big Creek,South of Fridley,"Montana FWP, 2020",Alt ID 4,2020-03-31 11:06:14,Big Creek,YES,NO
185456,,F,10,1,Big Creek,South of Fridley,"Montana FWP, 2020","Alt ID 32; No data after Dec 20, 2009.  GPS failure.",2020-03-31 11:06:14,Big Creek,YES,NO
185457,,F,6,1,Big Creek,South of Fridley,"Montana FWP, 2020",Alt ID 46,2020-03-31 11:06:14,Big Creek,YES,NO
185458,,F,2,1,Big Creek,South of Fridley,"Montana FWP, 2020",Alt ID 18; 151.0302,2020-03-31 11:06:14,Big Creek,YES,NO
185459,,F,2,1,Big Creek,South of Fridley,"Montana FWP, 2020",Alt ID 22,2020-03-31 11:06:14,Big Creek,YES,NO
185460,,F,6,1,Big Creek,Big Creek North,"Montana FWP, 2020",Alt ID 8,2020-03-31 11:06:14,Big Creek,YES,NO
185461,,F,3,1,Big Creek,Miller Creek,"Montana FWP, 2020",Alt ID 2; VHF failed but recaptured Quicksilver 2/11,2020-03-31 11:06:14,Big Creek,YES,NO
185462,,F,5,1,Big Creek,Miller Creek,"Montana FWP, 2020",Alt ID 34,2020-03-31 11:06:14,Big Creek,YES,NO
185464,,F,11,1,Big Creek,Big Creek North,"Montana FWP, 2020",Alt ID 39,2020-03-31 11:06:14,Big Creek,YES,NO
185465,,F,4,1,Big Creek,Big Creek North,"Montana FWP, 2020",Alt ID 36,2020-03-31 11:06:14,Big Creek,YES,NO
185466,,F,3,1,Big Creek,South of Fridley,"Montana FWP, 2020",Alt ID 9; Hunter harvest 11/27/2016,2020-03-31 11:06:14,Big Creek,YES,NO
Blacktail_120240,,"","",1,Blacktail,"","Rickbeil et al, 2019","",2019-11-12 11:14:11,Blacktail,YES,NO
Blacktail_120250,,"","",1,Blacktail,"","Rickbeil et al, 2019","",2019-11-12 11:14:11,Blacktail,YES,NO
Blacktail_121350,,"","",1,Blacktail,"","Rickbeil et al, 2019","",2019-11-12 11:14:11,Blacktail,YES,NO
Sage Creek_120880,,"","",1,Blacktail,"","Rickbeil et al, 2019","",2019-11-12 11:14:11,Blacktail,YES,NO
Sage Creek_120990,,"","",1,Blacktail,"","Rickbeil et al, 2019","",2019-11-12 11:14:11,Blacktail,YES,NO
Sage Creek_121270,,"","",1,Blacktail,"","Rickbeil et al, 2019","",2019-11-12 11:14:11,Blacktail,YES,NO
Sage Creek_121310,,"","",1,Blacktail,"","Rickbeil et al, 2019","",2019-11-12 11:14:11,Blacktail,YES,NO
Sage Creek_130210,,"","",1,Blacktail,"","Rickbeil et al, 2019","",2019-11-12 11:14:11,Blacktail,YES,NO
Sage Creek_130310,,"","",1,Blacktail,"","Rickbeil et al, 2019","",2019-11-12 11:14:11,Blacktail,YES,NO
Sage Creek_130350,,"","",1,Blacktail,"","Rickbeil et al, 2019","",2019-11-12 11:14:11,Blacktail,YES,NO
Sage Creek_130610,,"","",1,Blacktail,"","Rickbeil et al, 2019","",2019-11-12 11:14:11,Blacktail,YES,NO
Wall Creek_120780,,"","",1,Blacktail,"","Rickbeil et al, 2019","",2019-11-12 11:14:11,Blacktail,YES,NO
BT10001,,F,5,1,Blacktail,Blacktail,"Montana FWP, 2020",original ScannerID 75,2020-03-31 11:06:14,Blacktail,YES,NO
BT10020,,F,8,1,Blacktail,Blacktail,"Montana FWP, 2020",original ScannerID 64,2020-03-31 11:06:14,Blacktail,YES,NO
BT10023,,F,5,1,Blacktail,Blacktail,"Montana FWP, 2020",original ScannerID 65,2020-03-31 11:06:14,Blacktail,YES,NO
BT10028,,F,3,1,Blacktail,Blacktail,"Montana FWP, 2020",original ScannerID 76,2020-03-31 11:06:14,Blacktail,YES,NO
BT10029,,F,5,1,Blacktail,Blacktail,"Montana FWP, 2020",Hunter Harvest 2015; original ScannerID 60,2020-03-31 11:06:14,Blacktail,YES,NO
BT10033,,F,6,1,Blacktail,Blacktail,"Montana FWP, 2020","Died 5/14/11 of unknown causes - bears ate carcass, no evidence wolf presence; original ScannerID 72",2020-03-31 11:06:14,Blacktail,YES,NO
BT10035,,F,4,1,Blacktail,Blacktail,"Montana FWP, 2020",original ScannerID 50,2020-03-31 11:06:14,Blacktail,YES,NO
BT10043,,F,10,1,Blacktail,Blacktail,"Montana FWP, 2020",Harvested 11/16/2015; original ScannerID 61,2020-03-31 11:06:14,Blacktail,YES,NO
BT10045,,F,10,1,Blacktail,Blacktail,"Montana FWP, 2020",Milk present; original ScannerID 69,2020-03-31 11:06:14,Blacktail,YES,NO
BT10047,,F,4,1,Blacktail,Blacktail,"Montana FWP, 2020",Harvested in 2014 after collar was off; original ScannerID 70,2020-03-31 11:06:14,Blacktail,YES,NO
BT10048,,F,9,1,Blacktail,Blacktail,"Montana FWP, 2020",original ScannerID 53,2020-03-31 11:06:14,Blacktail,YES,NO
BT10053,,F,4,1,Blacktail,Blacktail,"Montana FWP, 2020","The elk was harvested in the desert between Island Park and Kilgore, ID was lactating; original ScannerID 71",2020-03-31 11:06:14,Blacktail,YES,NO
BT10058,,F,4,1,Blacktail,Blacktail,"Montana FWP, 2020",original ScannerID 67,2020-03-31 11:06:14,Blacktail,YES,NO
BT10063,,F,8,1,Blacktail,Blacktail,"Montana FWP, 2020",original ScannerID 56,2020-03-31 11:06:14,Blacktail,YES,NO
BT10065,,F,6,1,Blacktail,Blacktail,"Montana FWP, 2020",original ScannerID 57,2020-03-31 11:06:14,Blacktail,YES,NO
BT10066,,F,7,1,Blacktail,Blacktail,"Montana FWP, 2020","",2020-03-31 11:06:14,Blacktail,YES,NO
BT10068,,F,7,1,Blacktail,Blacktail,"Montana FWP, 2020",original ScannerID 77,2020-03-31 11:06:14,Blacktail,YES,NO
BT10073,,F,2,1,Blacktail,Blacktail,"Montana FWP, 2020",Harvested; original ScannerID 55,2020-03-31 11:06:14,Blacktail,YES,NO
BT10075,,F,8,1,Blacktail,Blacktail,"Montana FWP, 2020","Got a VIT but wasn't pregnant, never found VIT; original ScannerID 78",2020-03-31 11:06:14,Blacktail,YES,NO
BT10078,,F,8,1,Blacktail,Blacktail,"Montana FWP, 2020",original ScannerID 68,2020-03-31 11:06:14,Blacktail,YES,NO
BT10083,,F,5,1,Blacktail,Blacktail,"Montana FWP, 2020",original ScannerID 79,2020-03-31 11:06:14,Blacktail,YES,NO
BT10084,,F,8,1,Blacktail,Blacktail,"Montana FWP, 2020",original ScannerID 58,2020-03-31 11:06:14,Blacktail,YES,NO
BT10087,,F,5,1,Blacktail,Blacktail,"Montana FWP, 2020",original ScannerID 59,2020-03-31 11:06:14,Blacktail,YES,NO
BT10090,,F,3,1,Blacktail,Blacktail,"Montana FWP, 2020",Harvested by Tim Ray October 24 2011; original ScannerID 63,2020-03-31 11:06:14,Blacktail,YES,NO
BT10091,,F,4,1,Blacktail,Blacktail,"Montana FWP, 2020",original ScannerID 74,2020-03-31 11:06:14,Blacktail,YES,NO
BT10096,,F,2,1,Blacktail,Blacktail,"Montana FWP, 2020",original ScannerID 54,2020-03-31 11:06:14,Blacktail,YES,NO
BT10098,,F,12,1,Blacktail,Blacktail,"Montana FWP, 2020","Recaptured in 2012 as SC11046, large age discrepancy 12.5 this yr vs. 5.5 next yr; original ScannerID 73",2020-03-31 11:06:14,Blacktail,YES,NO
BRUC15031,,F,7,1,Border,HD520 S,"Montana FWP, 2020","",2020-03-31 11:06:14,Border,NO,NO
BRUC15033,,F,5,1,Border,HD520 S,"Montana FWP, 2020","Dead on flight 4/14/2016, half consumed",2020-03-31 11:06:14,Border,NO,NO
BRUC15051,,F,3,1,Border,HD520 S,"Montana FWP, 2020","",2020-03-31 11:06:14,Border,NO,NO
BRUC15053,,F,3,1,Border,HD520 S,"Montana FWP, 2020","",2020-03-31 11:06:14,Border,NO,NO
BRUC15059,,F,2,1,Border,HD520 S,"Montana FWP, 2020","",2020-03-31 11:06:14,Border,NO,NO
BRUC15060,,F,3,1,Border,HD520 S,"Montana FWP, 2020","",2020-03-31 11:06:14,Border,NO,NO
BRUC15065,,F,3,1,Border,HD520 S,"Montana FWP, 2020","",2020-03-31 11:06:14,Border,NO,NO
BRUC15085,,F,6,1,Border,HD520 S,"Montana FWP, 2020","",2020-03-31 11:06:14,Border,NO,NO
BRUC15098,,F,14,1,Border,HD520 S,"Montana FWP, 2020","",2020-03-31 11:06:14,Border,NO,NO
AbsarokaElk_1,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_10,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_11,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_12,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_12A,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_13,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_14,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_14A,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_15,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_15A,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_16,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_16A,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_17,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_17A,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_18,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_19,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_2,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_20,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_22,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_22A,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_23,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_23A,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_24,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_25,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_26,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_26A,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_28,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_29,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_29A,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_2A,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_3,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_30,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_32,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_32A,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_33,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_35,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_35A,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_36,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_38,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_39,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_3A,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_4,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_40,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_41,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_43A,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_44A,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_45A,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_46A,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_5,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_51,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_51A,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_53,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_53A,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_54,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_55,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_56A,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_56B,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_57,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_58,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_58A,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_59A,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_59B,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_6,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_61,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_62,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_63A,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_63B,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_64,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_65,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_66,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
AbsarokaElk_66A,,"","",1,Clarks Fork,"","Rickbeil et al, 2019","",2019-11-12 11:14:06,Clarks Fork,YES,NO
